NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0809 Entries & Exits,0809 Interchanges
5268,1029222,3788430,2085662,6903314,1029222,3788430,2085662,6903314,13806628,1474482
6810,51807,58040,149505,259352,51807,58040,149505,259352,518704,0
2603,5609,18727,6673,31009,5609,18727,6673,31009,62018,0
3230,308773,517678,215649,1042100,308773,517678,215649,1042100,2084200,351404
3231,995554,2009186,910074,3914814,995554,2009186,910074,3914814,7829628,890706
4012,2084,1992,876,4952,2084,1992,876,4952,9904,0
4187,3595,5877,2965,12437,3595,5877,2965,12437,24874,0
5081,46848,61374,219913,328135,46848,61374,219929,328151,656286,0
2240,55634,200900,47453,303987,55634,200900,47453,303987,607974,0
2892,13744,30022,17163,60929,13744,30022,17163,60929,121858,0
5006,42931,132391,103533,278855,42931,132391,103533,278855,557710,0
5886,86427,186965,338126,611518,86427,186965,338126,611518,1223036,248933
8429,9091,8024,7298,24413,9091,8024,7298,24413,48826,0
5404,169313,247073,572267,988653,169313,247073,572267,988653,1977306,0
2190,87332,277447,75038,439817,87332,277447,75038,439817,879634,0
2191,44613,117848,37119,199580,44613,117848,37119,199580,399160,0
2697,43914,52071,61938,157923,43914,52071,61938,157923,315846,0
5096,31599,43681,237982,313262,31599,43681,237982,313262,626524,0
5064,478427,845520,1574136,2898083,478427,845520,1574136,2898083,5796166,830504
4715,74664,37504,100753,212921,74664,37504,100753,212921,425842,0
1437,17384,42486,358595,418465,17384,42486,358595,418465,836930,0
1438,9819,33065,270774,313658,9819,33065,270774,313658,627316,0
6074,27128,18249,54015,99392,27128,18249,54015,99392,198784,0
5687,109521,87592,251242,448355,109521,87592,251242,448355,896710,52967
4175,581,108,226,915,581,108,226,915,1830,0
8050,377,183,687,1247,377,183,687,1247,2494,0
8618,1826,504,0,2330,1826,504,0,2330,4660,0
8051,48655,80349,49726,178730,48655,80349,49726,178730,357460,2085
9023,1591,798,570,2959,1591,798,570,2959,5918,0
6812,164588,187238,374665,726491,164588,187238,374665,726491,1452982,245039
6958,22917,35223,111753,169893,22917,35223,111753,169893,339786,0
7289,16434,19121,9047,44602,16434,19121,9047,44602,89204,666
7006,2380,1967,1201,5548,2380,1967,1201,5548,11096,0
8807,34629,13469,19477,67575,34629,13469,19477,67575,135150,0
3623,157280,246942,126627,530849,157280,246942,126627,530849,1061698,0
5702,2847,6830,2045,11722,2847,6830,2045,11722,23444,0
2222,17810,28152,10486,56448,17810,28152,10486,56448,112896,0
7290,17,49,0,66,17,49,0,66,132,0
2422,19378,1336,805,21519,19378,1336,805,21519,43038,0
4182,1117,185,439,1741,1117,185,439,1741,3482,0
3502,10,1244,0,1254,10,1244,0,1254,2508,0
4317,4020,1742,0,5762,4020,1742,0,5762,11524,0
1865,9286,6209,4047,19542,9286,6209,4047,19542,39084,0
7085,3727,7380,14159,25266,3727,7380,14159,25266,50532,0
5483,98807,245004,446283,790094,98807,245004,446283,790094,1580188,0
8500,110603,76754,84163,271520,110603,76754,84163,271520,543040,0
8565,68929,78772,49191,196892,68929,78772,49191,196892,393784,0
2945,17104,34510,20722,72336,17104,34510,20722,72336,144672,0
1975,3511,1360,2017,6888,3511,1360,2017,6888,13776,0
