NLC,"Entries  Standard  ",Entries Reduced,"Entries Seasons ",Exits Standard," Exits Reduced",Exits Seasons,Total Entries and Exits
9624,18837,11137,10836,22759,11139,10836,85544
9969,23242,18160,44483.5,26128,18155,44483.5,174652
9877,7744,7538,1843,8965,7538,1843,35471
1964,11721,7434,2574.5,11727,7459,2574.5,43490
2118,137369,330365,44822,132096,329756,44822,1019230
6201,5252,3625,1558.5,4804,3903,1558.5,20701
9702,34593,28798,37763.5,36339,28801,37763.5,204058
4068,36310,74592,14522.5,36139,74293,14522.5,250379
9769,13715,9841,4642.5,17903,9845,4642.5,60589
2640,19489,27805,5754.5,21017,27994,5754.5,107814
9028,5558,5577,2735.5,5168,5581,2735.5,27355
9897,36056,19656,9668.5,39802,19657,9668.5,134508
1442,35326,86228,63763.5,19682,100586,63120.5,368706
8621,565,422,0,615,428,0,2030
5405,53623.237,82823.261,176353.9615,34903.555,93778.265,175969.4615,617451.741
5406,39550.634,67965.232,185790.4765,37087.147,68926.232,184902.4765,584222.198
9704,1550,973,1164,1548,962,1164,7361
9680,12231,10724,7177.5,13082,10900,7177.5,61292
3098,3974.006,2657,14264.82,1783.048,5134,12758.32,40571.194
5703,18355,49109,4573,17319,49017,4573,142946
8359,49887,66817,1721.5,52884,63836,1721.5,236867
2919,7536,11394,5008,7744,12886,5008,49576
7914,1404,1451,10039.5,1360,1456,10039.5,25750
5351,36849,95525,111002,32409,102378,110602.5,488765.5
5077,52558.952,86549.82,244129.8455,55672.564,114840.981,240522.8455,794275.008
5047,56754.645,105269.6,347942.7365,20426.42,96356.717,344666.2365,971416.355
9795,70191,41813,49701.5,73701,41834,49701.5,326942
8232,6695,4842,4672.5,7082,4905,4672.5,32869
3568,714,357,0,772,357,0,2200
2425,5009,270,5,5467,271,5,11027
6874,108685.962,113991.508,507126.094,76388.436,120046.508,504948.094,1431186.602
7447,28328,79504,88732,34870,81965,88732,402131
7469,37732,65351,251488.5,33190,68701,243415.5,699878
2762,3441,12597,971.5,3842,13327,971.5,35150
5820,163,176,0,234,176,0,749
6664,27506,40137,8817,30900,39072,8817,155249
7051,758,4617,5394.5,953,4646,5394.5,21763
5097,4374,10042,11062,4066,11778,11062,52384
9911,326132,221623,338905.5,355442,221551,338905.5,1802559
5143,371193,941381,1301950,147881,395128,1301909,4459442
3004,27329,61663,30948.5,28281,63912,30948.5,243082
5144,75639.617,158167.766,276362.478,46050.128,166009.449,274597.478,996826.916
5008,5213,7026,4438,6731,7303,4438,35149
2947,4523,3057,1448,2825,4525,1448,17826
5199,228605,464155,681528.5,211375,479288,681251,2746202.5
7792,424,126,427,480,129,427,2013
2870,60339,101990,38123,57910,107706,38123,404191
5352,49378.317,80414.791,161712.834,39551.838,86084.419,160675.834,577818.033
1372,4167,10993,21993.5,2839,14371,21993.5,76357
2764,5214,6734,1758.5,6020,6737,1758.5,28222
6836,266169,800345,1523403,222495,855131,1501072.5,5168615.5
5098,30290.082,20649.018,228813.4755,18982.054,26990.036,228523.4755,554248.141
4731,87826,253138,35492.5,91478,253129,35492.5,756556
3774,14554,21298,5952.5,17032,21610,5952.5,86399
2573,4950,5013,1861.5,5321,4952,1861.5,23959
5553,34441,45921,102053.5,38326,46261,101176.5,368179
6814,123000,114332,310343,105503,117432,304415.5,1075025.5
5582,22806.678,41606.543,75266.5175,12692.218,41679.745,72579.5175,266631.219
5554,17796.148,68081.346,28714.4685,19656.161,71033.931,28714.4685,233996.523
2412,275934,707350,95964,278495,707740,95964,2161447
1130,45048,45815,4804,45114,45794,4804,191379
6615,126280,224330,43558.5,132228,224151,43558.5,794106
7736,24830,5441,10438,25531,5457,10438,82135
5200,6859,10956,37729.5,7226,12143,37729.5,112643
5840,570,497,119.5,718,498,119.5,2522
5255,159891,362416,201917,147554,363868,201896,1437542
5009,2202,5083,3514,2309,6297,3514,22919
5296,2346,1563,3642.5,2392,1663,3642.5,15249
6914,97854.453,109815.043,304230.2495,77020.667,108431.043,304123.7495,1001475.205
2823,7875,10169,4417,9154,10179,4417,46211
3267,133789,216654,130501.5,137021,219293,130501.5,967760
5353,4854,6425,23378.5,3402,7991,23378.5,69429
4449,4424,9773,1672,5500,9896,1672,32937
5099,76307.543,83776.136,245429.6155,48678.787,97227.136,245397.1155,796816.333
5583,41855.936,32620.018,61629.884,39787.675,33776.527,59256.884,268926.924
3031,23677,35109,42017.5,24291,36343,42017.5,203455
2745,110145,66768,50625,112365,68057,50625,458585
5879,33806,79198,65491,34156,80396,65491,358538
5319,5523,15839,16741.5,4749,17371,16741.5,76965
