NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0910 Entries & Exits,0910 interchanges
1003,8164,18161,15451,41776,8164,18161,15451,41776,83552,0
5472,1796,2165,5862,9823,1796,2165,5862,9823,19646,0
6961,42628,62362,152889,257879,42628,62362,152889,257879,515758,0
2449,9058,5632,68,14758,9058,5632,68,14758,29516,0
8048,66373,115177,109299,290849,66373,115177,109299,290849,581698,14
5211,89724,222624,332039,644387,89724,222624,332039,644387,1288774,0
5093,83751,113793,367716,565260,83751,113793,367716,565260,1130520,0
5094,192990,223876,1010525,1427391,192990,223876,1010525,1427391,2854782,0
3048,110982,288162,164275,563419,110982,288162,164275,563419,1126838,0
3104,7242,32685,12467,52394,7242,32685,12467,52394,104788,0
5063,68192,74790,256730,399712,68192,74790,256730,399712,799424,1835
2136,49342,53059,29017,131418,49342,53059,29017,131418,262836,86399
6170,78052,115972,157669,351693,78052,115972,157669,351693,703386,0
4618,11107,10963,24738,46808,11107,10963,24738,46808,93616,0
6871,197968,231913,885792,1315673,197968,231913,885792,1315673,2631346,0
7910,17047,11559,5321,33927,17047,11559,5321,33927,67854,0
5464,35811,67677,107237,210725,35811,67677,107237,210725,421450,0
6235,6418,6969,2219,15606,6418,6969,2219,15606,31212,0
8553,162409,198899,158728,520036,162409,198899,158728,520036,1040072,0
3907,4316,2116,5025,11457,4316,2116,5025,11457,22914,0
5163,15720,35545,85517,136782,15720,35545,85517,136782,273564,0
2304,109945,71459,63217,244621,109945,71459,63217,244621,489242,0
5401,3980,3046,10658,17684,3980,3046,10658,17684,35368,0
2352,100147,196316,95070,391533,100147,196316,95070,391533,783066,0
2217,170969,204208,105011,480188,170969,204208,105011,480188,960376,0
2219,459357,422139,333216,1214712,459357,422139,333216,1214712,2429424,254159
2145,150664,165195,95136,410995,150664,165195,95136,410995,821990,72504
2220,191613,187419,141288,520320,191613,187419,141288,520320,1040640,0
4513,264,3087,354,3705,264,3087,354,3705,7410,0
