NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,Interchanges
5130,30714,71540,112783,215037,30714,71540,112783,215037,430074,
4304,20255,7694,446,28395,20255,7694,446,28395,56790,
5254,13737,18428,19760,51925,13737,18428,19760,51925,103850,
6216,37643,58295,12471,108409,37643,58295,12471,108409,216818,
5894,21628,19511,26593,67732,21628,19511,26593,67732,135464,
6237,11437,8466,8841,28744,11437,8466,8841,28744,57488,
3018,28599,39769,51567,119935,28599,39769,51567,119935,239870,59686.3351
5876,318033,736111,247937,1302081,318033,736111,247937,1302081,2604162,65654.5136
1112,98825,191907,201343,492075,98825,191907,201343,492075,984150,
1381,2131,3993,10695,16819,2131,3993,10695,16819,33638,
6027,43957,38103,325232,407292,43957,38103,325232,407292,814584,
9968,6663,4674,4914,16251,6663,4674,4914,16251,32502,
5403,8729,16249,15585,40563,8729,16249,15585,40563,81126,
5693,362615,313077,323610,999302,362615,313077,323610,999302,1998604,
8346,303327,349708,427106,1080141,303327,349708,427106,1080141,2160282,36180.3868
8345,310936,537012,590410,1438358,310936,537012,590410,1438358,2876716,59279.2522
3341,83785,95696,48176,227657,83785,95696,48176,227657,455314,4216.5527
5530,26761,2674,4482,33917,26761,2674,4482,33917,67834,
6801,60811,99876,249062,409749,60811,99876,249062,409749,819498,
2053,8516,13066,6386,27968,8516,13066,6386,27968,55936,
2944,23242,46457,53627,123326,23242,46457,53627,123326,246652,
5500,28199,57746,40437,126382,28199,57746,40437,126382,252764,
8496,46520,33667,88082,168269,46520,33667,88082,168269,336538,
7565,2638,2518,792,5948,2638,2518,792,5948,11896,
7259,1111,1771,144,3026,1111,1771,144,3026,6052,
9938,17983,18058,13305,49346,17983,18058,13305,49346,98692,
7200,21354,18633,4832,44819,21354,18633,4832,44819,89638,
5875,38672,42916,33756,115344,38672,42916,33756,115344,230688,
2045,439,44,0,483,439,44,0,483,966,
2779,16503,51257,26328,94088,16503,51257,26328,94088,188176,
9251,38,7,0,45,38,7,0,45,90,
5552,215963,149290,327855,693108,215963,149290,327855,693108,1386216,
6872,301804,225733,720203,1247740,301804,225733,720203,1247740,2495480,
1560,9386,7323,7418,24127,9386,7323,7418,24127,48254,
9889,51363,40529,29843,121735,51363,40529,29843,121735,243470,
8823,2165,780,0,2945,2165,780,0,2945,5890,
3809,275941,288992,224450,789383,275941,288992,224450,789383,1578766,39658.5335
9789,90308,78614,75741,244663,90308,78614,75741,244663,489326,
