NLC,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,0607        Entries & Exits," 0607 Interchanges"
5464,32206,67806,118194,218206,31696,68450,118194,218340,436546,0
6235,6946,3694,1678,12318,7454,3731,1678,12863,25181,0
8553,165083,153961,40581,359625,167005,154194,40581,361780,721405,0
3907,1949,1896,2149,5994,2437,1900,2149,6486,12480,0
5163,15985,31759,80727,128471,16960,31424,80727,129111,257582,0
2304,111733,76394,54421,242548,108327,76298,54421,239046,481594,0
5401,1752,2016,7137,10905,3118,2023,7137,12278,23183,0
2352,66202,68005,971,135178,66092,68036,971,135099,270277,0
2217,89167,127731,1590,218488,79158,127950,1590,208698,427186,0
2145,73222,78840,201,152263,76612,78851,201,155664,307927,27176
2220,106963,90376,964,198303,107385,90374,964,198723,397026,0
1215,464745,688720,83949,1237414,463052,663826,83949,1210827,2448241,38844
4515,378145,916759,32448,1327352,402001,919046,32448,1353495,2680847,136043
1127,2158689,4746753,385993,7291435,2129731,4718714,385993,7234438,14525873,3794980
1006,337807,610768,23406,971981,333846,609717,23406,966969,1938950,98807
7835,18457,19705,3609,41771,19976,19707,3609,43292,85063,0
9940,79392,142481,59435,281308,99916,114830,59435,274181,555489,0
6800,211023,311971,622442,1145436,219021,307941,622442,1149404,2294840,51314
5402,1738,6539,3541,11818,2075,6607,3541,12223,24041,0
9620,93252,69134,93620,256006,99925,69127,93620,262672,518678,0
5945,9190,6992,8509,24691,10730,7193,8509,26432,51123,0
2737,239085,216910,67482,523477,240343,219840,67482,527665,1051142,69607
5095,201316,271973,899257,1372546,195638,272370,899257,1367265,2739811,36907
7400,14706,11784,59554,86044,11402,12067,59554,83023,169067,0
2739,244662,560190,33551,838403,237184,563894,33551,834629,1673032,838
2738,8793,6699,124,15616,7574,6702,124,14400,30016,0
2740,20064,24895,1716,46675,21388,24305,1716,47409,94084,0
2732,16569,17257,74494,108320,16563,19569,74494,110626,218946,0
5625,46265,100738,52082,199085,46317,106713,52082,205112,404197,0
2450,7148,2510,0,9658,7102,2512,0,9614,19272,0
8750,1763,3203,0,4966,2094,3431,0,5525,10491,0
9760,67832,61818,171537,301187,71861,61818,171537,305216,606403,0
1176,47532,33217,6344,87093,49218,33213,6344,88775,175868,0
4574,7866,2855,12830,23551,14096,2888,12830,29814,53365,0
9716,70561,50001,70573,191135,71165,50010,70573,191748,382883,0
7503,1148,314,1462,2924,1071,311,1462,2844,5768,0
6204,2598,62,10,2670,2463,65,10,2538,5208,0
1360,44049,105086,195704,344839,42052,106082,195704,343838,688677,46728
1141,4556,5556,55,10167,5237,5670,55,10962,21129,0
1018,5345,6428,251,12024,5087,6462,251,11800,23824,0
2123,128549,148601,1931,279081,132059,148605,1931,282595,561676,0
1282,8248,6269,3310,17827,9724,6359,3310,19393,37220,0
3501,14874,73327,4241,92442,14611,74204,4241,93056,185498,0
2435,1107,908,377,2392,1256,914,377,2547,4939,0
5253,79844,249869,208244,537957,97148,246456,208244,551848,1089805,0
9668,4522,2453,1569,8544,4716,2453,1569,8738,17282,0
2599,249949,595737,125280,970966,241887,614231,125280,981398,1952364,313188
