" NLC Code"," Entries Standard"," Entries Reduced"," Entries Season",Total Entries," Exits Standard"," Exits Reduced"," Exits Season",Total Exits," All Entries & Exits 0405",Interchanges
3267,171289,272105,183672.955,627066.955,171433,275767,183672.955,630872.955,1257940,10948
9463,273440,242040,122465.17,637945.17,254350,241762,122465.17,618577.17,1256522,30153
7068,141989,215661,268096.57,625746.57,145765,215754,268096.57,629615.57,1255362,225337
2363,195523,352384,58779.145,606686.145,218728,369552,58779.145,647059.145,1253745,167452
5568,136870.8253,177555.2336,307865.1697,622291.2286,142531.3495,177672.2336,307865.1697,628068.7528,1250360,
5509,230490,281988,119666.21,632144.21,208447,285844,119666.21,613957.21,1246101,38692
5357,139022,218117,256042.009,613181.009,149332,219870,256042.009,625244.009,1238425,40916
5900,196227,240287,181830.75,618344.75,191513,244669,181830.75,618012.75,1236358,124516
5377,84017.9,155939,376345.0278,616301.9278,82169.28,160812,376345.0278,619326.3078,1235628,
3186,139545.3316,221460,256020.1613,617025.4929,136076.5465,220642,256020.1613,612738.7078,1229764,56046
5089,88840,77655,452904.5514,619399.5514,74385.0147,77930,452904.5514,605219.5661,1224619,
6919,105103.1382,99516.7873,396499.2716,601119.1971,123809.563,99422.7873,396499.2716,619731.6219,1220851,
1373,75222,167993,354197.91,597412.91,75877,172365,354197.91,602439.91,1199853,
4597,180281,337352,81905.05,599538.05,175360,341946,81905.05,599211.05,1198749,138089
5222,164949,202035,204889.425,571873.425,185143,228725,204889.425,618757.425,1190631,6658
5922,187186,202573,211157.715,600916.715,173501,204922,211157.715,589580.715,1190497,58940
5383,105253.4828,104557.6211,379675.0499,589486.1538,103541.6431,105816.7169,379675.0499,589033.4099,1178520,202849
6893,96404.5073,142509.0175,348400.8888,587314.4136,96161.7957,142442.0175,348400.8888,587004.702,1174319,
2118,155232.5,395630,37847.52,588710.02,150511.5,392692,37847.52,581051.02,1169761,212789
5899,179832,204798,199247.5,583877.5,172554,207930,199247.5,579731.5,1163609,106432
3092,150553.6083,139832.6702,323568.9243,613955.2028,83585.9506,137976.1382,323568.9243,545131.0131,1159086,7745
1314,167109,365856,43926.325,576891.325,168310,366897,43926.325,579133.325,1156025,55497
6878,90056.7905,119706.0942,364288.8682,574051.7529,96804.1016,120625.0942,364288.8682,581718.064,1155770,
6941,95797.7417,123835.1946,359733.2664,579366.2027,89920.3428,123499.1946,359733.2664,573152.8038,1152519,7321
1897,192502,267817,109010,569329,204999,268972,109010,582981,1152310,38881
2219,333574,263702,2162.005,599438.005,281192,263260,2162.005,546614.005,1146052,79906
6089,140803,189162,238904.555,568869.555,147227,189660,238904.555,575791.555,1144661,
4502,149650,274776,145563.55,569989.55,140859,281022,145563.55,567444.55,1137434,331126
5545,143372,183456,230932.8,557760.8,143393,193475,230932.8,567800.8,1125562,143
5623,154812,236291,165604.285,556707.285,152484,246703,165604.285,564791.285,1121499,91746
7929,194848,306180,63157.185,564185.185,187222,306217,63157.185,556596.185,1120781,31095
6914,122225.1499,106497.9887,328549.9969,557273.1355,124366.8174,106618.9887,328549.9969,559535.803,1116809,
1390,132919,168955,252869.47,554743.47,137905,171249,252869.47,562023.47,1116767,
5600,112195.9653,127360.18,318730.6922,558286.8375,102022.578,126701.18,318730.6922,547454.4502,1105741,
1492,139573,221176,188057.105,548806.105,142625,221814,188057.105,552496.105,1101302,2885
9438,182281,187836,176210.08,546327.08,193597,176019,176210.08,545826.08,1092153,
1532,64942,151240,325610.005,541792.005,62696,158019,325610.005,546325.005,1088117,
5110,82912.4241,85913,381800.363,550625.7871,69578.4517,85911,381800.363,537289.8147,1087916,
8468,237051,271969,31956.9,540976.9,241281,273475,31956.9,546712.9,1087690,409
3047,121470,191182,228252.755,540904.755,125106,191597,228252.755,544955.755,1085861,
7469,114539,76367,351969.33,542875.33,112181,76436,351969.33,540586.33,1083462,
3155,124451,192848,226062.765,543361.765,114674,198960,226062.765,539696.765,1083059,426370
5363,106541.0566,113685.0719,327675.1568,547901.2853,88110.2143,113597.0719,327675.1568,529382.443,1077284,
5486,90552,148500,294565.66,533617.66,96753,148998,294565.66,540316.66,1073934,
5224,97127,122560,317156.375,536843.375,90124,127398,317156.375,534678.375,1071522,220618
5883,160780,250250,124107.985,535137.985,155901,253582,124107.985,533590.985,1068729,10314
5073,98868.8109,109825.1103,323620.5183,532314.4395,92704.1141,110201.1103,323620.5183,526525.7427,1058840,
8213,177342,282227,75740.975,535309.975,183054,260814,75740.975,519608.975,1054919,205
2384,202731,234044,54151.38,490926.38,273538,235892,54151.38,563581.38,1054508,102775
9145,124410,272244,127339.725,523993.725,127563,271292,127339.725,526194.725,1050188,14098
5755,148821,250365,135768.66,534954.66,124654,250320,135768.66,510742.66,1045697,20142
4731,163190,294200,57103.47,514493.47,170111,295036,57103.47,522250.47,1036744,103747
6615,198135,243976,69158.11,511269.11,202629,244513,69158.11,516300.11,1027569,54999
6090,104448,154223,253191.155,511862.155,107179,154751,253191.155,515121.155,1026983,4576
5277,73482,237838,199695.885,511015.885,69431,239131,199695.885,508257.885,1019274,
1268,163115,279056,67728.54,509899.54,164748,273820,67728.54,506296.54,1016196,131841
5100,72103,77181.7366,357745.3875,507030.1241,69588.0188,77499.7566,357745.3875,504833.1629,1011863,
5657,104502,181591,215219.015,501312.015,103500,186373,215219.015,505092.015,1006404,8605
9136,133170,184495,181528.44,499193.44,124816,182543,181528.44,488887.44,988081,24945
1423,142802.6851,160453.0019,210155.3882,513411.0752,99394.9945,160739.0025,210155.3882,470289.3852,983700,
