NLC,Entries_Full,Entries_Reduced,Entries_Season,Entries_Total,Exits_Full,Exits_Reduced,Exits_Season,Exits_Total,1415 Entries & Exits,1415 Interchanges
5268,1206481,4857462,2521427,8585370,1206481,4857462,2521427,8585370,17170740,1848530.1959
6810,92310,127500,162270,382080,92310,127500,162270,382080,764160,0
2603,6625,19374,9825,35824,6625,19374,9825,35824,71648,0
3230,321572,616923,231758,1170253,321572,616923,231758,1170253,2340506,682493.4272
3231,1345193,2677332,1027238,5049763,1345193,2677332,1027238,5049763,10099526,1474683.86869999
4012,5125,559,2109,7793,5125,559,2109,7793,15586,0
7932,290,1,494,785,290,1,494,785,1570,0
4187,12297,2644,3495,18436,12297,2644,3495,18436,36872,0
5081,133252,158936,235482,527670,133252,158936,235482,527670,1055340,0
2240,82811,97213,107783,287807,82811,97213,107783,287807,575614,0
2892,17241,31276,27332,75849,17241,31276,27332,75849,151698,0
5006,41857,175083,86270,303210,41857,175083,86270,303210,606420,0
5886,87898,189472,251303,528673,87898,189472,251303,528673,1057346,257625.3969
8429,10981,11705,6174,28860,10981,11705,6174,28860,57720,0
5404,428723,656787,787190,1872700,428723,656787,787190,1872700,3745400,0
2190,139260,125144,48065,312469,139260,125144,48065,312469,624938,0
2191,67973,56744,28681,153398,67973,56744,28681,153398,306796,0
2697,43550,65225,76951,185726,43550,65225,76951,185726,371452,0
5096,53434,46518,230592,330544,53434,46518,230592,330544,661088,0
5064,812979,1361269,1516481,3690729,812979,1361269,1516481,3690729,7381458,866876.824099999
4715,90537,43946,150122,284605,90537,43946,150122,284605,569210,0
1437,207398,388952,808605,1404955,207398,388952,808605,1404955,2809910,0
1438,140813,162607,615951,919371,140813,162607,615951,919371,1838742,0
6074,31658,27469,55918,115045,31658,27469,55918,115045,230090,0
5687,133612,96417,264884,494913,133612,96417,264884,494913,989826,55601.1587
4175,359,62,844,1265,359,62,844,1265,2530,0
8050,169,124,359,652,169,124,359,652,1304,0
8618,2017,791,0,2808,2017,791,0,2808,5616,0
8051,41680,103427,42120,187227,41680,103427,42120,187227,374454,6042.9827
9023,9486,6847,4290,20623,9486,6847,4290,20623,41246,0
6812,227058,318759,308169,853986,227058,318759,308169,853986,1707972,300845.9315
6958,56939,101087,132720,290746,56939,101087,132720,290746,581492,0
7289,16281,21007,11948,49236,16281,21007,11948,49236,98472,565.9217
7006,2200,2785,756,5741,2200,2785,756,5741,11482,0
8807,39268,21977,21021,82266,39268,21977,21021,82266,164532,0
3623,158000,137101,140827,435928,158000,137101,140827,435928,871856,0
5702,4579,10038,2431,17048,4579,10038,2431,17048,34096,0
2222,21505,39653,12808,73966,21505,39653,12808,73966,147932,0
7290,10,33,1,44,10,33,1,44,88,0
2422,22350,2001,1491,25842,22350,2001,1491,25842,51684,0
4182,1917,484,1769,4170,1917,484,1769,4170,8340,0
7501,59151,34466,51516,145133,59151,34466,51516,145133,290266,0
